date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:34	241/241	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Oct%202024%2023:17:32%20GMT	https://appspyacesso.online/new2	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2.0.delayed	(from )
20:17:34	28896/28896	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202024%2014:42:35%20GMT	https://appspyacesso.online/new2/	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/index.html	(from )
20:17:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Oct%202024%2023:17:33%20GMT	https://appspyacesso.online/robots.txt		(from )
20:17:35	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Sep%202022%2021:52:58%20GMT	https://appspyacesso.online/new2/arquivos/favicon.ico	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/arquivos/favicon.ico	(from https://appspyacesso.online/new2/)
20:17:35	155764/155764	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/css/bootstrap.min.css	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/css/bootstrap.min.css	(from https://appspyacesso.online/new2/)
20:17:35	18153/18153	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/css/estilo.css	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/css/estilo.css	(from https://appspyacesso.online/new2/)
20:17:36	186593/186593	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/Whatsapp%20Icon.png	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/Whatsapp%20Icon.png	(from https://appspyacesso.online/new2/)
20:17:36	6589/6589	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/flag-of-brasil.svg	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/flag-of-brasil.svg	(from https://appspyacesso.online/new2/)
20:17:36	1346/1346	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/android.svg	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/android.svg	(from https://appspyacesso.online/new2/)
20:17:36	1167/1167	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/iphone.svg	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/iphone.svg	(from https://appspyacesso.online/new2/)
20:17:36	1187/1187	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/mac-or-windows.svg	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/mac-or-windows.svg	(from https://appspyacesso.online/new2/)
20:17:37	1258/1258	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/windows-phone.svg	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/windows-phone.svg	(from https://appspyacesso.online/new2/)
20:17:37	2021/2021	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/img1.jpg	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/img1.jpg	(from https://appspyacesso.online/new2/)
20:17:37	5810/5810	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/8.jpg	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/8.jpg	(from https://appspyacesso.online/new2/)
20:17:37	815/815	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/like.png	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/like.png	(from https://appspyacesso.online/new2/)
20:17:37	816/816	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/love.png	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/love.png	(from https://appspyacesso.online/new2/)
